profile,window,fee,ema_len,st_len,st_mult,adx_len,adx_min,breakout_len,entry_mode,exit_len,adx_rising,total,cagr,mdd,sharpe,years,exposure,calmar,n,per_year,winrate,pf,avg_r,avg_win_r,avg_loss_r,avg_bars,max_consec_loss,risk_pct,max_open_risk_pct,open_positions,start,last
exit0_rising0,journal,0.008,200,10,3.0,14,20.0,20,state,0,False,-0.02718009893594775,-0.4530966588081923,-0.02718009893594775,-5.55998926349761,0.045662100456621,0.72,-16.670162234359548,3,65.7,0.0,0.0,-0.9071983190489433,0.0,-0.9071983190489433,51.333333333333336,3,1.0,0.0,0,2026-09-01 00:00:00+00:00,2026-09-17 12:00:00+00:00
exit0_rising1,holdout,0.008,200,10,3.0,14,20.0,20,state,0,True,-0.006730901873259421,-0.01009310056298307,-0.1371692504683405,-0.023526949442267974,0.6657534246575343,0.29835390946502055,-0.07358136410691127,20,30.041152263374485,0.2,0.1312970701397823,-0.5542529973509611,0.42493951355830917,-0.7990511250782788,36.7,5,1.0,0.0,2,2026-01-01 00:00:00+00:00,2026-08-31 20:00:00+00:00
exit0_rising1,journal,0.008,200,10,3.0,14,20.0,20,state,0,True,-0.01888947518938089,-0.34139842049276914,-0.01888947518938089,-5.052843866960071,0.045662100456621,0.72,-18.073473035645446,2,43.800000000000004,0.0,0.0,-0.9451167564338345,0.0,-0.9451167564338345,55.5,2,1.0,0.0,0,2026-09-01 00:00:00+00:00,2026-09-17 12:00:00+00:00
exit0_rising0,holdout,0.004,200,10,3.0,14,20.0,20,state,0,False,0.07620331155097082,0.11662439651553913,-0.11091475390495709,0.8744605265227439,0.6657534246575343,0.32098765432098764,1.0514777557499215,21,31.54320987654321,0.2857142857142857,0.24591672118075042,-0.3690501611458398,0.42244221040099134,-0.685647109764572,37.142857142857146,6,1.0,0.0,2,2026-01-01 00:00:00+00:00,2026-08-31 20:00:00+00:00
exit0_rising0,journal,0.004,200,10,3.0,14,20.0,20,state,0,False,-0.02354605366222673,-0.40656432259981823,-0.02354605366222673,-4.850693792621651,0.045662100456621,0.72,-17.26677125738657,3,65.7,0.0,0.0,-0.7853940712545567,0.0,-0.7853940712545567,51.333333333333336,3,1.0,0.0,0,2026-09-01 00:00:00+00:00,2026-09-17 12:00:00+00:00
exit0_rising1,holdout,0.004,200,10,3.0,14,20.0,20,state,0,True,0.03131245705046326,0.04740091101767385,-0.10797231628868154,0.44720217591717043,0.6657534246575343,0.29835390946502055,0.4390098559239927,20,30.041152263374485,0.3,0.251572175828848,-0.37523387250507945,0.42244221040099145,-0.7170950508933952,36.7,5,1.0,0.0,2,2026-01-01 00:00:00+00:00,2026-08-31 20:00:00+00:00
exit0_rising1,journal,0.004,200,10,3.0,14,20.0,20,state,0,True,-0.016204493491239202,-0.3007767230316962,-0.016284566909825715,-4.382854027661508,0.045662100456621,0.72,-18.470047419573362,2,43.800000000000004,0.0,0.0,-0.8105039087577621,0.0,-0.8105039087577621,55.5,2,1.0,0.0,0,2026-09-01 00:00:00+00:00,2026-09-17 12:00:00+00:00
risk_guarded,train,0.008,200,10,3.0,14,20.0,20,state,0,False,0.40331263198076006,0.11957058154635547,-0.0685201199319575,1.396819066066206,3.0,0.44033485540334855,1.7450433779901813,109,36.333333333333336,0.45871559633027525,2.4213435547930136,0.6834801623894311,2.5010852343398207,-0.8568631189244585,53.10091743119266,9,0.5,1.0,0,2021-01-01 00:00:00+00:00,2023-12-31 20:00:00+00:00
risk_guarded,validation,0.008,200,10,3.0,14,20.0,20,state,0,False,0.08260790360145243,0.04042796921253,-0.10808365952602916,0.5870203651918318,2.0027397260273974,0.4466484268125855,0.37404330487897636,85,42.44186046511628,0.3764705882352941,1.3506807062198973,0.2127008877220315,2.0213264585528803,-0.8792994569305561,46.01176470588236,9,0.5,1.0,0,2024-01-01 00:00:00+00:00,2025-12-31 20:00:00+00:00
risk_guarded,holdout,0.008,200,10,3.0,14,20.0,20,state,0,False,0.029958982398153866,0.045336879758303805,-0.07279941875572649,0.649982093641205,0.6657534246575343,0.32098765432098764,0.6227643095672045,21,31.54320987654321,0.19047619047619047,0.11315149025633524,-0.5485402254656723,0.42493951355830917,-0.7775942817066092,37.142857142857146,6,0.5,1.0,2,2026-01-01 00:00:00+00:00,2026-08-31 20:00:00+00:00
risk_guarded,journal,0.008,200,10,3.0,14,20.0,20,state,0,False,-0.009368843071508537,-0.18628479695019706,-0.009368843071508537,-5.0802449518716415,0.045662100456621,0.72,-19.88343657038138,2,43.800000000000004,0.0,0.0,-0.9375063830311474,0.0,-0.9375063830311474,56.0,2,0.5,1.0,0,2026-09-01 00:00:00+00:00,2026-09-17 12:00:00+00:00
